Notes,Year,Resource,URL,Paper URL,Paper Citation
Review,2014,"REVIEW: Schwartz & Hearst, Ab3P & NatLAb",http://bioc.sourceforge.net/,https://academic.oup.com/database/article/doi/10.1093/database/bau044/2634328,"Islamaj Doğan, Rezarta, et al. ""Finding abbreviations in biomedical literature: three BioC-compatible modules and four BioC-formatted corpora."" Database 2014 (2014)."
Review,2014,"REVIEW: S&H, Medstract, Ab3P & BIOADI",http://bioc.sourceforge.net/,https://academic.oup.com/database/article/doi/10.1093/database/bau044/2634328,"Islamaj Doğan, Rezarta, et al. ""Finding abbreviations in biomedical literature: three BioC-compatible modules and four BioC-formatted corpora."" Database 2014 (2014)."
,2012,Tool:AbbrAlignHMM,https://github.com/TeamCohen/secondstring/blob/master/src/com/wcohen/ss/expt/ExtractAbbreviations.java,http://www.cs.cmu.edu/~dmovshov/papers/dma_abbvAlignment_bioNLP2012.pdf,"Movshovitz-Attias, Dana, and William W. Cohen. ""Alignment-HMM-based extraction of abbreviations from biomedical text."" Proceedings of the 2012 Workshop on Biomedical Natural Language Processing. Association for Computational Linguistics, 2012."
,2011,Tool:NatLAb,http://bioc.sourceforge.net/,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-12-S3-S6,"Yeganova, Lana, Donald C. Comeau, and W. John Wilbur. ""Machine learning with naturally labeled data for identifying abbreviation definitions."" BMC bioinformatics 12.3 (2011): S6."
,2011,ALLIE,http://allie.dbcls.jp/,,"Y. Yamamoto, A. Yamaguchi, H. Bono and T. Takagi, ""Allie: a database and a search service of abbreviations and long forms."", Database, 2011:bar03."
,2010,AcroMine,http://www.nactem.ac.uk/software/acromine/rest.html,,"Okazaki, N., Ananiadou, S., & Tsujii, J. (2010). Building a high quality sense inventory for improved abbreviation disambiguation. Bioinformatics, 26(9), 1246–1253."
,2009,MBA,,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-10-14,"Xu, Yun, et al. ""MBA: a literature mining system for extracting biomedical abbreviations."" BMC bioinformatics 10.1 (2009): 14."
,2009,Tool:BIOADI,https://clojars.org/repo/edu/sinica/bioagent/bioadi/0.1.0/bioadi-0.1.0.jar,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-10-S15-S7,"Kuo C.J. Ling M.H. Lin K.T. et al.  . ( 2009 ) BIOADI: a machine learning approach to identifying abbreviations and definitions in biological literature . BMC Bioinformatics  , 10 , S7 ."
,2009,Corpus:BIOADI,http://bioc.sourceforge.net/,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-10-S15-S7,"Kuo C.J. Ling M.H. Lin K.T. et al.  . ( 2009 ) BIOADI: a machine learning approach to identifying abbreviations and definitions in biological literature . BMC Bioinformatics  , 10 , S7 ."
,2009,,,,"Sun, X., Okazaki, N., & Tsujii, J. (2009). Robust approach to abbreviating terms—a discriminative latent variable model with global information. In K. Su , J. Su , & J. Wiebe (Eds.), Proceedings of the Joint Conference of the 47th Annual Meeting of the ACL and the 4th International Joint Conference on Natural Language Processing of the AFNLP (ACL‐IJCNLP) (pp. 905–913). Stroudsburg, PA: ACM."
,2008,Tool:Ab3P,http://bioc.sourceforge.net/,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-9-402,"Sohn S. Comeau D.C. Kim W. et al.  . ( 2008 ) Abbreviation definition identification based on automatic precision estimates . BMC Bioinformatics  , 9 , 402 ."
